time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,city,month-day,lag_temp_1d,lag_temp_3d,lag_temp_7d,rolling_temp_7d_mean,rolling_temp_7d_std
2025-02-25,53,11.4,4.5,4.0,1,2.25,0.0,0.0,0.0,0.0,0.0
2025-02-25,51,11.9,4.1,0.4,5,2.25,0.0,0.0,0.0,0.0,0.0
2025-02-25,63,12.2,5.4,7.0,4,2.25,0.0,0.0,0.0,0.0,0.0
2025-02-25,51,11.6,5.2,0.4,3,2.25,0.0,0.0,0.0,0.0,0.0
2025-02-25,61,13.4,5.4,6.4,2,2.25,0.0,0.0,0.0,0.0,0.0
2025-02-26,61,8.7,3.5,3.6,4,2.26,12.2,0.0,0.0,0.0,0.0
2025-02-26,51,7.9,2.8,0.3,3,2.26,11.6,0.0,0.0,0.0,0.0
2025-02-26,55,10.2,4.6,3.6,5,2.26,11.9,0.0,0.0,0.0,0.0
2025-02-26,53,8.9,3.8,3.9,1,2.26,11.4,0.0,0.0,0.0,0.0
2025-02-26,61,6.7,2.9,2.9,2,2.26,13.4,0.0,0.0,0.0,0.0
2025-02-27,53,7.4,1.2,3.0,3,2.27,7.9,0.0,0.0,0.0,0.0
2025-02-27,51,9.6,3.5,1.4,1,2.27,8.9,0.0,0.0,0.0,0.0
2025-02-27,53,8.6,2.1,5.5,4,2.27,8.7,0.0,0.0,0.0,0.0
2025-02-27,75,8.7,2.6,9.5,5,2.27,10.2,0.0,0.0,0.0,0.0
2025-02-27,53,6.7,0.2,1.3,2,2.27,6.7,0.0,0.0,0.0,0.0
2025-02-28,71,6.2,1.4,2.6,5,2.28,8.7,11.9,0.0,0.0,0.0
2025-02-28,73,4.3,1.5,3.4,3,2.28,7.4,11.6,0.0,0.0,0.0
2025-02-28,75,7.3,1.2,5.1,4,2.28,8.6,12.2,0.0,0.0,0.0
2025-02-28,61,5.7,1.8,3.1,1,2.28,9.6,11.4,0.0,0.0,0.0
2025-02-28,75,6.4,-0.4,3.4,2,2.28,6.7,13.4,0.0,0.0,0.0
2025-03-01,3,6.3,2.0,0.0,3,3.01,4.3,7.9,0.0,0.0,0.0
2025-03-01,51,7.1,1.0,0.1,4,3.01,7.3,8.7,0.0,0.0,0.0
2025-03-01,3,5.0,-1.1,0.0,2,3.01,6.4,6.7,0.0,0.0,0.0
2025-03-01,51,5.6,0.5,0.2,1,3.01,5.7,8.9,0.0,0.0,0.0
2025-03-01,51,6.9,-0.1,0.2,5,3.01,6.2,10.2,0.0,0.0,0.0
2025-03-02,3,9.1,-0.4,0.0,5,3.02,6.9,8.7,0.0,0.0,0.0
